"Aartsen, A.A. (Thierry) - VVD",
"Ontvangen het boek ‘Worst Bank Scenario’ van Hester Bais & Wink Sabée ter waarde van €25,-.",28-03-2023
"Ontvangen van de Bulgaarse Ambassade een fles 'Petit Enira' wijn ter waarde van €12,45.",07-03-2023
Ontvangen van het Nederlands Handbal Verbond kaarten voor de Golden League Handbal. De waarde is onbekend.,05-03-2023
Ontvangen van de KNZB twee kaarten voor het WK-Afstanden. De waarde is onbekend.,03-03-2023
Ontvangen van de Atletiekunie twee kaarten voor het NK Atletiek. De waarde is onbekend.,19-02-2023
Ontvangen van de organisatie van de ABN AMRO Open twee kaarten voor de ABN AMRO Open. De waarde is onbekend.,17-02-2023
Ontvangen van de KNSB twee kaarten voor de World Cup Shorttrack. De waarde is onbekend.,11-02-2023
"Ontvangen van de ambassadeur van Griekenland een fles Mataroa Gin ter waarde van €35,-.",02-02-2023
"Ontvangen van de Ambassadeur van Moldavië een fles Purcari 1827 Rara Neagra 2020 wijn ter waarde van €14,-.",02-02-2023
Ontvangen van de Provincie Noord-Holland twee kaarten voor Jumping Amsterdam. De waarde is onbekend.,28-01-2023
"Ontvangen van Elsevier het boek ‘Handboek Minister: De Lang geheimgehouden instructies aan bewindslieden"", ook wel het ‘blauwe boek’ genoemd van Joppe Gloerich (ISBN: 9789035251410). De waarde is onbekend.",19-12-2022
"Ontvangen van de ambassade van Ierland in Den Haag een fles Silkie Irish Whiskey (70 cl) ter waarde van €36,95.",16-12-2022
Ontvangen van de ambassade van Bangladesh in Den Haag twee doosjes Kazi & Kazi Thee. De waarde is onbekend.,16-12-2022
"Ontvangen van de KNVB het boek ‘Nabeschouwing’ geschreven door Kees Jansma en Mart Smeets ter waarde van €22,99.",05-12-2022
Ontvangen van de KNZB 1 kaart voor de Rotterdam Qualification Meet. De waarde is onbekend.,02-12-2022
Ontvangen van Unilever een tas met levensmiddelen en een kookboek. De waarde is onbekend.,02-12-2022
Ontvangen van de KNVB kaarten voor de WK-wedstrijd Nederland-Ecuador in het Huis van Oranje. De waarde is onbekend.,25-11-2022
Ontvangen van de KNSB kaarten voor de ISU World Cup Lange Baan. De waarde is onbekend.,20-11-2022
Ontvangen van de Nederlandse Boksbond kaarten voor World Port Boxing. De waarde is onbekend.,13-11-2022
Ontvangen van de Ambassadeur van Nigeria The Cross River edition of Monopoly. De waarde is onbekend.,04-11-2022
Ontvangen van de KNVB kaarten voor de voetbalwedstrijd AZ. De waarde is onbekend.,03-11-2022
Ontvangen van BID een kaart voor het BID Diner. De waarde is onbekend.,01-11-2022
Ontvangen van KNZB kaarten voor het World Cup Kwalificatie Toernooi. De waarde is onbekend.,30-10-2022
Ontvangen van de Judo Bond Nederland kaarten voor de NK Judo. De waarde is onbekend.,23-10-2022
Ontvangen van de KNVB kaarten voor de voetbalwedstijd AZ-Feyenoord. De waarde is onbekend.,16-10-2022
Ontvangen van Nevobo kaarten voor het WK Volleybal Nederland-Brazilië. De waarde is onbekend.,07-10-2022
Ontvangen van Nevobo kaarten voor het WK Volleybal Nederland-België. De waarde is onbekend.,30-09-2022
"Ontvangen van Het Winkler Prins College een schenking ter waarde van €250,-. Aan Stichting Hartekind geschonken.",30-09-2022
Ontvangen van Big Improvement Day kaarten voor de World Padel Tour Amsterdam. De waarde is onbekend.,29-09-2022
Ontvangen van de KNVB kaarten voor de voetbalwedstrijd Oranje Leeuwinnen Nederland-IJsland. De waarde is onbekend.,06-09-2022
Ontvangen van Dutch GP Formule 1 kaarten. De waarde is onbekend.,03-09-2022
Ontvangen van Dutch GP Formule 1 kaarten. De waarde is onbekend.,01-09-2022
Ontvangen van Big Improvement Day een kaart voor het BID Adviesraad Diner. De waarde is onbekend.,30-08-2022
Ontvangen van de Gemeente Utrecht een kaart voor de Vuelta. De waarde is onbekend.,20-08-2022
Ontvangen van de KNVB een kaart voor de voetbalwedstrijd AZ-Gil Vicente. De waarde is onbekend.,18-08-2022
Ontvangen van de KNHB kaarten voor WK hockey vrouwen. De waarde is onbekend.,12-07-2022
Ontvangen van de KNHB kaarten voor WK Hockey vrouwen. De waarde is onbekend.,06-07-2022
Ontvangen van de KNCB een kaart voor een cricket wedstrijd. De waarde is onbekend.,17-06-2022
Ontvangen kaarten voor de voetbalwedstrijd Nederland-Wales op 13 juni 2022 van de KNVB. De waarde is onbekend.,13-06-2022
Ontvangen kaarten voor UCI BMX Racing World Cup op 12 juni 2022. De waarde is onbekend.,12-06-2022
Ontvangen kaarten voor de voetbalwedstrijd Nederland-Polen op 11 juni 2022 van de KNVB. De waarde is onbekend.,11-06-2022
Ontvangen kaarten Libéma Open op 10 juni 2022 van de KNLTB. De waarde is onbekend.,10-06-2022
Ontvangen van de Koninklijke Nederlandse Klim- en Bergsport Vereniging een kaart voor het NK Boulder. De waarde is onbekend.,28-05-2022
Ontvangen van Tig Sports kaarten voor de opening van de Invictus Games. De waarde is onbekend.,16-04-2022
Ontvangen van de KNVB kaarten voor de voetbalwedstrijd Oranjeleeuwinnen Nederland-Zuid-Afrika. De waarde is onbekend.,12-04-2022
Ontvangen van Uitgeverij Noordhoff een Bosatlas. De waarde is onbekend.,12-04-2022
Geschenk,Datum
Ontvangen van de KNZB kaarten voor de Swimcup Eindhoven. De waarde is onbekend.,09-04-2022
Ontvangen van de KNVB kaarten voor de voetbalwedstrijd Nederland-Duitsland van de KNVB. De waarde is onbekend.,29-03-2022
Ontvangen van de organisatie van de Dutch Trampoline Open kaarten voor de Dutch Trampoline Open. De waarde is onbekend.,19-03-2022
Ontvangen van de KNLTB kaarten voor de Billie Jean King Cup. De waarde is onbekend.,15-03-2022
Ontvangen kaarten voor de waterpolowedstrijd Nederland-Griekenland. De waarde is onbekend.,15-03-2022
Ontvangen een boek van Nolet Destilleerderij. De waarde is onbekend.,11-03-2022
Ontvangen kaarten voor een handbalwedstrijd. De waarde is onbekend.,05-03-2022
Ontvangen kaarten voor het Davis Cup Tennistoernooi. De waarde is onbekend.,04-03-2022
Ontvangen kaarten voor de voetbalwedstrijd AZ-Ajax. De waarde is onbekend.,03-03-2022
Ontvangen kaarten voor NK Indoor Atletiek. De waarde is onbekend.,27-02-2022
Ontvangen van Heroes Den Bosch kaarten voor het basketbalwedstrijd. De waarde is onbekend.,19-02-2022
Ontvangen kaarten voor de International Swimming League. De waarde is onbekend.,12-11-2021
Ontvangen kaarten voor het NK Afstanden Schaatsen in Thialf. De waarde is onbekend.,30-10-2021
Deelgenomen aan een lunch met Hague samen met twee medewerkers. De waarde is onbekend.,28-10-2021
Ontvangen van de KNVB kaarten voor de voetbalwedstrijd Nederland-Gibraltar. De waarde is onbekend.,11-10-2021
Ontvangen van het Nederlands Handbal Verbond kaarten voor het NK Handbal Nederland-Wit Rusland. De waarde is onbekend.,06-10-2021
Ontvangen van Tigsports een toegangskaart voor de Formule 1 Zandvoort. De waarde is onbekend.,05-09-2021
Ontvangen van Tigsports een toegangskaart voor de Formule 1 Zandvoort. De waarde is onbekend.,04-09-2021
Ontvangen van Tigsports een toegangskaart voor de Formule 1 Zandvoort. De waarde is onbekend.,02-09-2021
Ontvangen van Sportworx toegangskaarten voor King of the Court. De waarde is onbekend.,28-08-2021
Ontvangen van Sportworx toegangskaarten voor King of the Court. De waarde is onbekend.,26-08-2021
Ontvangen van UCI BMX World Championships 2021 een toegangskaart voor het WK BMX. De waarde is onbekend.,22-08-2021
Ontvangen van Tigsports toegang tot het Olympic Festival (vanaf 23-07-2021 t/m 8-8-2021). De waarde is onbekend.,23-07-2021
Ontvangen van het Nederlands Handbal verbond toegangskaarten Handbal. De waarde is onbekend.,04-07-2021
Ontvangen van de KNGU een toegangsticket voor het OKT turnen. De waarde is onbekend.,26-06-2021
Ontvangen van Sportworx een toegangsticket voor het OKT beachvolleybal. De waarde is onbekend.,23-06-2021
Ontvangen van de KNVB een uitnodiging voor de voetbalwedstrijd Nederland-Oostenrijk. De waarde is onbekend.,17-06-2021
"Ontvangen van hoogbegaafdheid SWV Midden Holland en SWV Aan den IJssel een boekenbon ter waarde van €50,-.",27-05-2021
Ontvangen van de Nederlandse Basketball Bond een toegangskaart voor Basketbal NL. De waarde is onbekend.,24-02-2020
Ontvangen van de Atletiekunie een toegangskaart Indoor Atletiek. De waarde is onbekend.,22-02-2020
Ontvangen van de KNSB een toegangskaart voor Shorttrack Dordrecht. De waarde is onbekend.,16-02-2020
Ontvangen van Donar een toegangskaart Basketbal. De waarde is onbekend.,15-02-2020
Ontvangen van Topsport community een ticket voor Topsportcommunity Live. De waarde is onbekend.,10-02-2020
Ontvangen van de Gemeente Amsterdam een toegangskaart voor Jumping Amsterdam. De waarde is onbekend.,24-01-2020
Ontvangen van de Nevobo een toegangskaart voor het OKT Volleybal dames. De waarde is onbekend.,12-01-2020
Ontvangen van de Nevobo een toegangskaart voor het OKT Volleybal dames. De waarde is onbekend.,11-01-2020
Ontvangen van de KNSB een toegangskaart voor het EK Schaatsen. De waarde is onbekend.,11-01-2020
Ontvangen van de Nevobo een toegangskaart voor het OKT Volleybal dames. De waarde is onbekend.,10-01-2020
"Ontvangen van de Nevobo een schilderij ter waarde van €750,- in bruikleen.",09-01-2020
Ontvangen van de Nevobo een toegangskaart voor het OKT Volleybal dames. De waarde is onbekend.,09-01-2020
Ontvangen van de Nevobo een toegangskaart voor het OKT Volleybal dames. De waarde is onbekend.,08-01-2020
Ontvangen van de KNSB een toegangskaart voor het NK Shorttrack. De waarde is onbekend.,04-01-2020
Ontvangen van de KNSB toegangskaarten voor het NK Schaatsen. De waarde is onbekend.,29-12-2019
Ontvangen van de KNSB toegangskaarten voor het NK Schaatsen. De waarde is onbekend.,27-12-2019
Ontvangen van de NOS en NOC*NSF een uitnodiging voor het Sportgala. De waarde is onbekend.,18-12-2019
Ontvangen van het Bestuur van AZ een toegangskaart voor de voetbalwedstrijd AZ-Ajax. De waarde is onbekend.,15-12-2019
Geschenk,Datum
Ontvangen van de KNZB een toegangskaart voor de SwimCup Amsterdam. De waarde is onbekend.,13-12-2019
"Ontvangen van Erasmus+ het boek ""Grote verwachtingen"" van Geert Mak ter waarde van €29,99.",28-11-2019
Ontvangen van de KNVB toegangskaarten voor de voetbalwedstrijd Nederland-Estland. De waarde is onbekend.,19-11-2019
Ontvangen van de Nederlandse Boksbond een uitnodiging voor het Boksgala. De waarde is onbekend.,17-11-2019
Ontvangen van de Gemeente Den Haag een uitnodiging voor de Krajicek Foundation Gala. De waarde is onbekend.,15-11-2019
Ontvangen van de KNZB een diner en een toegangskaart voor de heren waterpolowedstrijd. De waarde is onbekend.,12-11-2019
Ontvangen van de NKVB een toegangskaart voor het NK Lead. De waarde is onbekend.,09-11-2019
Ontvangen van ViaCommunio een mand met lekkernij. De waarde is onbekend.,04-11-2019
Ontvangen van Alkmaar Sport toegangskaarten voor de Wieler driedaags Alkmaar. De waarde is onbekend.,02-11-2019
Bijgewoond op uitnodiging van TripleDouble het benefitdiner voor de Gehandicaptensport. De waarde is onbekend.,29-10-2019
Ontvangen van de Provincie Noord-Holland toegangskaarten voor het Provincieconcert. De waarde is onbekend.,11-10-2019
Ontvangen van de KNVB een toegangskaart voor de wedstrijd Nederland - Noord-Ierland. De waarde is onbekend.,10-10-2019
Ontvangen van het Nederlands Handbal Verbond een toegangskaart voor de wedstrijd Nederland-Oostenrijk. De waarde is onbekend.,26-09-2019
"Ontvangen van Talentissimo het boek ""Hoogbegaafdheid"". De waarde is onbekend.",25-09-2019
Bijgewoond op uitnodiging van TIG Sports de KLM Open. De waarde is onbekend.,15-09-2019
Bijgewoond op uitnodiging van Nevobo het EK Volleybal. De waarde is onbekend.,13-09-2019
Ontvangen van de KNGU een toegangskaart voor het Vijflandentoernooi turnen. De waarde is onbekend.,07-09-2019
Ontvangen van het Yvonne van Gennip Talentfonds een uitnodiging voor het Feest voor Talent. De waarde is onbekend.,05-09-2019
Ontvangen van Nevobo een toegangskaart voor het OKT volleybal. De waarde is onbekend.,11-08-2019
Ontvangen van de Gemeente Alkmaar toegangskaarten voor het EK Wielrennen Alkmaar. De waarde is onbekend.,10-08-2019
Bijgewoond op uitnodiging van Jumbo-Visma de Tour de France. De waarde is onbekend.,10-07-2019
Bijgewoond op uitnodiging van Jumbo-Visma de Tour de France. De waarde is onbekend.,09-07-2019
Ontvangen van NBB een toegangskaart voor EK rolstoelbasketbal vrouwen. De waarde is onbekend.,01-07-2019
Ontvangen van de KNLTB toegangskaarten voor de Libema Open. De waarde is onbekend.,14-06-2019
Ontvangen van de Gouden Spike toegangskaarten voor de 48ste Gouden Spike. De waarde is onbekend.,08-06-2019
Ontvangen van de Nederlandse Boksbond een toegangskaart voor de Youfone Boksgala. De waarde is onbekend.,07-06-2019
Ontvangen van KNVB een toegangskaart voor de voetbalwedstrijd Nederland-Australië (vrouwen). De waarde is onbekend.,01-06-2019
Ontvangen van Nevobo toegangskaarten voor een volleybalwedstrijd. De waarde is onbekend.,30-05-2019
Ontvangen van Nevobo toegangskaarten voor een volleybalwedstrijd. De waarde is onbekend.,28-05-2019
Ontvangen van de KNLTB een toegangskaart voor Roland Garros. De waarde is onbekend.,26-05-2019
Ontvangen van Circuit Zandvoort een toegangskaart voor de Max Verstappen Racedagen. De waarde is onbekend.,19-05-2019
Ontvangen van BMX Papendal een toegangskaart voor de UCI BMX Supercross World Cup. De waarde is onbekend.,12-05-2019
Ontvangen van de Nederlandse Loterij een uitnodiging voor de afdrachtsgala van de Nederlandse Loterij. De waarde is onbekend.,09-05-2019
Ontvangen van Triple Double een toegangskaart voor een basketbalwedstrijd van New Heroes. De waarde is onbekend.,30-04-2019
Ontvangen van Hofstaten een uitnodiging voor het Aspergediner Nieuwspoort. De waarde is onbekend.,17-04-2019
Ontvangen van KNKV een toegangskaart voor de World Korfbal leaguefinale. De waarde is onbekend.,13-04-2019
Ontvangen van KNVB een toegangskaart voor de voetbalwedstrijd Nederland-Chili (vrouwen). De waarde is onbekend.,09-04-2019
Ontvangen van PO-raad en VO-raad een uitnodiging voor de Diner Pensant. De waarde is onbekend.,08-04-2019
Ontvangen van KNVB een toegangskaart voor de voetbalwedstrijd Nederland-Mexico (vrouwen). De waarde is onbekend.,05-04-2019
Ontvangen van Fonds Gehandicaptensport een toegangskaart voor de Premier League of Darts in Rotterdam. De waarde is onbekend.,28-03-2019
Ontvangen van KNVB een toegangskaart voor de voetbalwedstrijd Nederland-Duitsland. De waarde is onbekend.,24-03-2019
Ontvangen van KNVB een toegangskaart voor de voetbalwedstrijd Nederland-Wit-Rusland. De waarde is onbekend.,21-03-2019
Ontvangen van Taekwondo Bond Nederland een toegangskaart voor Dutch Open Taekwondo Championships. De waarde is onbekend.,10-03-2019
Ontvangen van Rugby Nederland toegangskaarten voor Rugby Heren. De waarde is onbekend.,09-03-2019
Ontvangen van KNSB toegangskaarten voor ISU WK Sprint. De waarde is onbekend.,24-02-2019
Ontvangen van KNSB toegangskaarten voor ISU WK Sprint. De waarde is onbekend.,23-02-2019
Geschenk,Datum
Ontvangen van KNZB toegangskaarten voor de waterpolowedstrijd Nederland-Griekenland. De waarde is onbekend.,19-02-2019
"Ontvangen van KNLTB toegangskaarten voor het ABN AMRO Tennistoernooi, inclusief lunch. De waarde is onbekend.",15-02-2019
"Ontvangen van gemeente Amsterdam, Provincie Noord-Holland en Jumping Amsterdam twee uitnodigingen voor Jumping Amsterdam in Business. De waarde is onbekend.",25-01-2019
Ontvangen een uitnodiging van de Boksbond voor het NK Boksen in Rotterdam. De waarde is onbekend.,20-01-2019
Ontvangen van de leerlingen van basisschool De Driemaster in Alkmaar het boek ‘Het verhaal van de Oorsprong’ van Kees Wagemaker. De waarde is onbekend.,18-01-2019
Ontvangen twee uitnodigingen van de KNSB voor het EK Shorttrack Dordrecht. De waarde is onbekend.,13-01-2019
Ontvangen een uitnodiging van Den Haag Topsport voor het DELA Beach Open. De waarde is onbekend.,06-01-2019
Ontvangen een uitnodiging van Den Haag Topsport voor het DELA Beach Open. De waarde is onbekend.,04-01-2019
Ontvangen een uitnodiging van KNGU voor het ‘A Touch of Gold’ Turngala. De waarde is onbekend.,29-12-2018
Ontvangen een uitnodiging van de NOS en NOC*NSF voor het NOC*NSF Sportgala 2018. De waarde is onbekend.,19-12-2018
Ontvangen een uitnodiging van TV Triffis Alkmaar voor de NK Trampolinespringen teams 2018. De waarde is onbekend.,08-12-2018
Ontvangen een uitnodiging van de Vereniging Ons Middelbaar Onderwijs voor het Diner Pensant. De waarde is onbekend.,20-11-2018
Ontvangen een uitnodiging van de Boksbond voor de World Port Boxing. De waarde is onbekend.,18-11-2018
Ontvangen een uitnodiging van de Judobond voor de Grand Prix Judo. De waarde is onbekend.,17-11-2018
Ontvangen twee uitnodigingen van de KNVB voor de voetbalwedstrijd Nederland-Frankrijk. De waarde is onbekend.,16-11-2018
Ontvangen een uitnodiging van de Koninklijke Nederlandse Jagersvereniging voor het wilddiner in Nieuwspoort. De waarde is onbekend.,14-11-2018
Ontvangen van de KNVB een uitnodiging voor de voetbalwedstrijd Nederland-Zwitserland (vrouwen). De waarde is onbekend.,09-11-2018
